iteration,reward_mean,length_mean,games,loss
500,-0.88,2.12,8.0,0.1387089490890503
1000,-1.0,2.0,8.0,0.0591612346470356
1500,-1.0,2.0,9.0,0.06499448418617249
2000,-1.0,2.0,8.0,0.05636804923415184
2500,-1.0,2.0,8.0,0.028661036863923073
3000,-0.88,2.12,8.0,0.034869953989982605
3500,-0.88,2.12,8.0,0.037806324660778046
4000,-0.4,2.0,10.0,0.017473416402935982
4500,0.12,2.12,8.0,0.010290641337633133
5000,0.12,2.12,8.0,0.019187195226550102
5500,0.0,2.0,8.0,0.008166634477674961
6000,0.0,2.0,8.0,0.008947807364165783
6500,0.12,2.12,8.0,0.026942960917949677
7000,0.12,2.12,8.0,0.005999165121465921
7500,0.0,2.0,8.0,0.010813867673277855
8000,0.12,2.12,8.0,0.008020834997296333
8500,0.12,2.12,8.0,0.013947106897830963
9000,0.0,2.0,8.0,0.011821103282272816
9500,0.12,2.25,8.0,0.014524145051836967
10000,-0.12,2.0,8.0,0.005815420299768448
10500,0.0,2.0,8.0,0.022116512060165405
11000,0.0,2.0,8.0,0.0017048668814823031
11500,0.12,2.12,8.0,0.0178708303719759
12000,0.12,2.25,8.0,0.011210438795387745
12500,0.12,2.25,8.0,0.0011418331414461136
13000,0.38,2.38,8.0,0.012481029145419598
13500,0.78,3.11,9.0,0.004366798792034388
14000,0.25,2.25,8.0,0.003955223131924868
14500,0.22,2.44,9.0,0.0019431639229878783
15000,0.89,3.44,9.0,0.006437668576836586
15500,0.11,2.33,9.0,0.015909362584352493
16000,0.38,2.5,8.0,0.0029097385704517365
16500,0.0,2.12,8.0,0.015793852508068085
17000,0.62,2.88,8.0,0.0048598721623420715
17500,0.38,2.38,8.0,0.025763021782040596
18000,0.75,2.88,8.0,0.022958461195230484
18500,0.38,2.38,8.0,0.002695584436878562
19000,0.5,2.5,8.0,0.007048548199236393
19500,0.75,2.88,8.0,0.0038801110349595547
20000,0.62,2.75,8.0,0.00588073069229722
20500,1.4,3.8,10.0,0.009898100048303604
21000,0.88,3.0,8.0,0.00480471458286047
21500,0.5,2.75,8.0,0.01856759563088417
22000,0.88,2.88,8.0,0.021349824965000153
22500,1.2,3.5,10.0,0.01363229751586914
23000,1.2,3.6,10.0,0.03180135041475296
23500,1.62,3.88,8.0,0.010509702377021313
24000,0.88,3.0,8.0,0.019372979179024696
24500,1.0,3.12,8.0,0.014903675764799118
25000,0.62,2.75,8.0,0.02632135897874832
25500,1.33,3.67,9.0,0.008666571229696274
26000,1.7,4.1,10.0,0.006681082304567099
26500,2.09,4.64,11.0,0.03856630623340607
27000,3.12,6.12,8.0,0.021209152415394783
27500,1.67,4.17,12.0,0.018238121643662453
28000,4.25,7.25,8.0,0.011029085144400597
28500,3.38,6.38,8.0,0.012900957837700844
29000,3.25,6.25,8.0,0.02420133538544178
29500,5.5,8.5,8.0,0.03688054159283638
30000,4.62,7.62,8.0,0.0659802034497261
30500,4.5,7.5,8.0,0.03180638700723648
31000,6.0,9.0,8.0,0.015723519027233124
31500,4.5,7.5,8.0,0.09290684014558792
32000,7.22,10.22,9.0,0.029263097792863846
32500,6.0,9.0,8.0,0.04366128891706467
33000,5.11,8.11,9.0,0.02884577214717865
33500,5.88,8.88,8.0,0.019080504775047302
34000,5.12,8.12,8.0,0.013463033363223076
34500,5.62,8.62,8.0,0.03548162430524826
35000,9.62,12.62,8.0,0.048716407269239426
35500,7.12,10.12,8.0,0.032097164541482925
36000,5.38,8.38,8.0,0.07463625818490982
36500,7.88,10.88,8.0,0.058574970811605453
37000,8.75,11.75,8.0,0.08650562167167664
37500,5.5,8.5,8.0,0.08911924064159393
38000,10.38,13.38,8.0,0.023340389132499695
38500,5.88,8.88,8.0,0.022272104397416115
39000,7.38,10.38,8.0,0.02812873385846615
39500,8.62,11.62,8.0,0.12012449651956558
40000,8.75,11.75,8.0,0.02776145748794079
40500,9.25,12.25,8.0,0.09492553025484085
41000,6.62,9.62,8.0,0.0262229535728693
41500,7.62,10.62,8.0,0.032147496938705444
42000,5.5,8.5,8.0,0.08906184136867523
42500,10.75,13.75,8.0,0.05321170389652252
43000,9.12,12.12,8.0,0.09709884971380234
43500,13.25,16.25,8.0,0.038958754390478134
44000,12.5,15.5,8.0,0.027109548449516296
44500,6.25,9.25,8.0,0.024951782077550888
45000,7.0,10.0,8.0,0.023496786132454872
45500,10.5,13.5,8.0,0.0312722884118557
46000,9.88,12.88,8.0,0.023744873702526093
46500,13.25,16.25,8.0,0.02511466294527054
47000,11.5,14.5,8.0,0.02718612737953663
47500,4.5,7.5,8.0,0.04279131069779396
48000,9.12,12.12,8.0,0.041789643466472626
48500,12.5,15.5,8.0,0.03422433137893677
49000,15.25,18.25,8.0,0.0348973385989666
49500,10.62,13.62,8.0,0.0985715314745903
50000,10.12,13.12,8.0,0.1272002011537552
50500,10.38,13.38,8.0,0.07900748401880264
51000,13.88,16.88,8.0,0.03332505747675896
51500,6.25,9.25,8.0,0.05767053738236427
52000,9.62,12.62,8.0,0.026415850967168808
52500,13.88,16.88,8.0,0.042292311787605286
53000,10.25,13.25,8.0,0.027742980048060417
53500,10.88,13.88,8.0,0.1277972012758255
54000,12.25,15.25,8.0,0.04074084013700485
54500,12.25,15.25,8.0,0.032867059111595154
55000,11.12,14.12,8.0,0.06722789257764816
55500,8.0,11.0,8.0,0.0957639217376709
56000,17.62,20.62,8.0,0.04384249448776245
56500,11.38,14.38,8.0,0.07381398975849152
57000,12.12,15.12,8.0,0.05017231032252312
57500,8.5,11.5,8.0,0.07985379546880722
58000,12.75,15.75,8.0,0.19539718329906464
58500,12.88,15.88,8.0,0.037152186036109924
59000,9.62,12.62,8.0,0.04472089931368828
59500,13.25,16.25,8.0,0.07563772052526474
60000,11.88,14.88,8.0,0.05986300855875015
60500,13.38,16.38,8.0,0.07075668126344681
61000,8.75,11.75,8.0,0.08581715822219849
61500,17.12,20.12,8.0,0.042101483792066574
62000,9.25,12.25,8.0,0.048493728041648865
62500,7.38,10.38,8.0,0.04972490295767784
63000,8.62,11.62,8.0,0.06691744178533554
63500,14.5,17.5,8.0,0.06697560846805573
64000,14.12,17.12,8.0,0.2376256138086319
64500,18.62,21.62,8.0,0.1703844517469406
65000,11.0,14.0,8.0,0.0985058918595314
65500,13.89,16.89,9.0,0.1454075127840042
66000,10.0,13.0,8.0,0.046263519674539566
66500,16.0,19.0,8.0,0.15643595159053802
67000,15.38,18.38,8.0,0.1363936960697174
67500,12.75,15.75,8.0,0.17098687589168549
68000,12.88,15.88,8.0,0.03794684633612633
68500,10.25,13.25,8.0,0.044644132256507874
69000,16.62,19.62,8.0,0.06048449128866196
69500,15.12,18.12,8.0,0.09707839041948318
70000,14.0,17.0,9.0,0.029552225023508072
70500,7.88,10.88,8.0,0.03136191889643669
71000,10.25,13.25,8.0,0.09122347831726074
71500,14.5,17.5,8.0,0.06162542849779129
72000,14.0,17.0,8.0,0.036381009966135025
72500,13.62,16.62,8.0,0.03130720183253288
73000,14.62,17.62,8.0,0.03711545839905739
73500,7.75,10.75,8.0,0.050814393907785416
74000,13.5,16.5,8.0,0.03201267123222351
74500,14.75,17.75,8.0,0.09217765927314758
75000,12.75,15.75,8.0,0.06844838708639145
75500,14.75,17.75,8.0,0.04920727014541626
76000,18.12,21.12,8.0,0.12096919119358063
76500,13.25,16.25,8.0,0.09913385659456253
77000,14.5,17.5,8.0,0.08694925904273987
77500,13.75,16.75,8.0,0.05073759704828262
78000,16.25,19.25,8.0,0.11722350120544434
78500,19.62,22.62,8.0,0.047059252858161926
79000,13.88,16.5,8.0,0.06518059968948364
79500,14.75,17.75,8.0,0.07574587315320969
80000,14.62,17.62,8.0,0.0647590383887291
80500,10.75,13.75,8.0,0.07446402311325073
81000,15.0,18.0,8.0,0.03932635858654976
81500,17.25,20.25,8.0,0.05749756097793579
82000,18.38,21.38,8.0,0.03382553905248642
82500,20.88,23.88,8.0,0.06167119741439819
83000,12.38,15.38,8.0,0.08915835618972778
83500,16.0,19.0,8.0,0.037463780492544174
84000,16.62,19.62,8.0,0.10735265910625458
84500,14.75,17.75,8.0,0.14292658865451813
85000,19.25,22.25,8.0,0.0759662464261055
85500,15.5,18.5,8.0,0.0768694132566452
86000,18.75,21.75,8.0,0.08068658411502838
86500,17.5,20.5,8.0,0.11175362020730972
87000,10.0,13.0,8.0,0.1597207933664322
87500,10.25,13.25,8.0,0.04413241893053055
88000,13.12,16.12,8.0,0.08420248329639435
88500,12.62,15.62,8.0,0.1033024787902832
89000,10.25,13.25,8.0,0.04799631983041763
89500,8.62,11.62,8.0,0.03995731100440025
90000,15.62,18.62,8.0,0.026692967861890793
90500,8.75,11.75,8.0,0.2020128220319748
91000,16.25,19.25,8.0,0.062433596700429916
91500,17.38,20.38,8.0,0.13483810424804688
92000,17.38,20.38,8.0,0.17307083308696747
92500,13.56,16.56,9.0,0.08408477157354355
93000,18.88,21.88,8.0,0.058032773435115814
93500,16.5,19.5,8.0,0.13914677500724792
94000,14.5,17.5,8.0,0.16111324727535248
94500,12.0,15.0,8.0,0.1414119452238083
95000,15.62,18.62,8.0,0.0437798798084259
95500,13.5,16.5,8.0,0.17356741428375244
96000,12.45,15.09,11.0,0.04762459546327591
96500,19.25,22.25,8.0,0.0987066701054573
97000,14.88,17.88,8.0,0.05379719287157059
97500,12.5,15.5,8.0,0.056667737662792206
98000,15.88,18.88,8.0,0.0497744120657444
98500,11.62,14.62,8.0,0.1276157796382904
99000,17.5,20.5,8.0,0.04917319491505623
99500,14.88,17.88,8.0,0.04132340848445892
100000,17.88,20.88,8.0,0.10459577292203903
100500,16.12,19.12,8.0,0.07951094955205917
101000,16.38,19.38,8.0,0.06002271547913551
101500,12.12,15.12,8.0,0.062528595328331
102000,18.25,21.25,8.0,0.17952890694141388
102500,7.5,10.5,8.0,0.03754514828324318
103000,12.0,15.0,8.0,0.035535916686058044
103500,15.25,18.25,8.0,0.055628761649131775
104000,17.38,20.38,8.0,0.03330801799893379
104500,14.62,17.62,8.0,0.059281643480062485
105000,15.62,18.62,8.0,0.053352754563093185
105500,18.75,21.75,8.0,0.10989435017108917
106000,21.25,24.25,8.0,0.1321088969707489
106500,17.62,20.62,8.0,0.05027475953102112
107000,14.25,17.25,8.0,0.1311790496110916
107500,21.62,24.62,8.0,0.051021791994571686
108000,18.5,21.5,8.0,0.047418177127838135
108500,12.5,15.5,8.0,0.05207851901650429
109000,15.5,18.5,8.0,0.21317513287067413
109500,13.5,16.5,8.0,0.07759250700473785
110000,20.88,23.88,8.0,0.05654135346412659
110500,17.38,20.38,8.0,0.12432181090116501
111000,14.12,17.12,8.0,0.03511016443371773
111500,15.5,18.5,8.0,0.08343926072120667
112000,16.0,19.0,8.0,0.10793526470661163
112500,18.75,21.75,8.0,0.06964342296123505
113000,13.75,16.75,8.0,0.03800327330827713
113500,15.0,18.0,8.0,0.029869407415390015
114000,20.75,23.75,8.0,0.03452508896589279
114500,16.62,19.62,8.0,0.04344722628593445
115000,13.38,16.38,8.0,0.07399077713489532
115500,14.38,17.38,8.0,0.02855878882110119
116000,14.88,17.88,8.0,0.05613233894109726
116500,16.75,19.75,8.0,0.04314512386918068
117000,13.88,16.88,8.0,0.10900130867958069
117500,15.75,18.75,8.0,0.15643349289894104
118000,17.0,20.0,8.0,0.031812816858291626
118500,15.25,18.25,8.0,0.09168387949466705
119000,17.12,20.12,8.0,0.12451587617397308
119500,11.88,14.88,8.0,0.04514724016189575
120000,10.5,13.5,8.0,0.0783311203122139
120500,15.75,18.75,8.0,0.04362145811319351
